location_id,plot_id,treatment_id,replication,plot_label,observation_day,date_of_observation,plant_count_1m,plant_count_5m,plant_count_15m,number_of_node,node_length_cm,millable_cane_count,cane_girth_cm,number_of_tillers,number_of_leaves,plant_height_cm,leaf_length_cm,leaf_breadth_cm,germination_pct,source_file,source_sheet
L003,P034,T1,,A,30,03.02.2026,,,,5.0,,,,1.0,3.0,30.0,35.0,2.0,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P034,T1,,A,30,03.02.2026,,,,6.0,,,,0.0,4.0,29.0,32.0,1.5,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P034,T1,,A,30,03.02.2026,,,,5.0,,,,0.0,3.0,32.0,28.0,1.9,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P034,T1,,A,30,03.02.2026,,,,7.0,,,,1.0,4.0,25.0,32.0,1.8,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P034,T1,,A,30,03.02.2026,,,,5.0,,,,0.0,4.0,28.0,33.0,1.8,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P035,T2,,B,30,03.02.2026,,,,6.0,,,,0.0,3.0,28.0,32.0,1.8,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P035,T2,,B,30,03.02.2026,,,,5.0,,,,0.0,4.0,32.0,25.0,1.2,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P035,T2,,B,30,03.02.2026,,,,5.0,,,,0.0,3.0,25.0,22.0,1.6,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P035,T2,,B,30,03.02.2026,,,,7.0,,,,0.0,3.0,30.0,27.0,1.2,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P035,T2,,B,30,03.02.2026,,,,6.0,,,,0.0,4.0,27.0,26.0,1.5,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P036,T3,,C,30,03.02.2026,,,,5.0,,,,0.0,4.0,35.0,33.0,2.1,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P036,T3,,C,30,03.02.2026,,,,6.0,,,,0.0,5.0,33.0,35.0,2.3,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P036,T3,,C,30,03.02.2026,,,,5.0,,,,0.0,6.0,36.0,29.0,2.0,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P036,T3,,C,30,03.02.2026,,,,7.0,,,,0.0,5.0,25.0,31.0,1.9,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P036,T3,,C,30,03.02.2026,,,,5.0,,,,0.0,4.0,30.0,32.0,1.7,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P037,T4,,D,30,03.02.2026,,,,5.0,,,,0.0,4.0,29.0,22.0,2.0,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P037,T4,,D,30,03.02.2026,,,,6.0,,,,0.0,5.0,32.0,25.0,1.7,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P037,T4,,D,30,03.02.2026,,,,6.0,,,,0.0,4.0,30.0,27.0,1.8,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P037,T4,,D,30,03.02.2026,,,,5.0,,,,0.0,3.0,28.0,20.0,1.7,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P037,T4,,D,30,03.02.2026,,,,7.0,,,,0.0,4.0,35.0,28.0,1.5,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P038,T5,,E,30,03.02.2026,,,,6.0,,,,0.0,4.0,42.0,48.0,2.1,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P038,T5,,E,30,03.02.2026,,,,7.0,,,,0.0,5.0,47.0,54.0,2.0,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P038,T5,,E,30,03.02.2026,,,,5.0,,,,0.0,4.0,43.0,52.0,1.8,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P038,T5,,E,30,03.02.2026,,,,6.0,,,,0.0,5.0,41.0,49.0,1.9,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P038,T5,,E,30,03.02.2026,,,,5.0,,,,0.0,6.0,39.0,50.0,1.7,,anthiyur_biometric_observations.xlsx,30 DAY
L003,P034,T1,,A,40,13.02.2026,,,,6.0,,,,5.0,5.0,85.0,65.0,3.0,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P034,T1,,A,40,13.02.2026,,,,7.0,,,,4.0,6.0,92.0,77.0,2.8,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P034,T1,,A,40,13.02.2026,,,,5.0,,,,3.0,5.0,87.0,69.0,3.1,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P034,T1,,A,40,13.02.2026,,,,6.0,,,,4.0,6.0,90.0,72.0,3.2,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P034,T1,,A,40,13.02.2026,,,,5.0,,,,3.0,6.0,88.0,70.0,2.9,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P035,T2,,B,40,13.02.2026,,,,9.0,,,,4.0,4.0,65.0,52.0,2.5,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P035,T2,,B,40,13.02.2026,,,,5.0,,,,3.0,5.0,69.0,56.0,2.4,,anthiyur_biometric_observations.xlsx,40 DAY
