day_after_planting,date,n_kg,p2o5_kg,k2o_kg,mn_mixture_kg,urea_kg,map_kg,dap_kg,white_potash_kg,location_id,plot_id,treatment_id
1,2026-01-05 00:00:00,10.33137,26.450000000000003,,4.6,,,57.3965,,L003,P034,T1
10,2026-01-15 00:00:00,,,,,,,,,L003,P034,T1
20,2026-01-25 00:00:00,,,,,,,,,L003,P034,T1
30,2026-02-04 00:00:00,,,,,,,,,L003,P034,T1
40,2026-02-14 00:00:00,4.4,4.408333333333334,1.38,,7.6653948000000005,7.229666666666668,,2.3045999999999998,L003,P034,T1
50,2026-02-24 00:00:00,4.4,4.408333333333334,1.38,,7.6653948000000005,7.229666666666668,,2.3045999999999998,L003,P034,T1
60,2026-03-06 00:00:00,4.4,4.408333333333334,1.38,,7.6653948000000005,7.229666666666668,,2.3045999999999998,L003,P034,T1
70,2026-03-16 00:00:00,4.4,4.408333333333334,1.38,,7.6653948000000005,7.229666666666668,,2.3045999999999998,L003,P034,T1
80,2026-03-26 00:00:00,4.4,4.408333333333334,1.38,,7.6653948000000005,7.229666666666668,,2.3045999999999998,L003,P034,T1
90,2026-04-05 00:00:00,4.4,4.408333333333334,1.38,,7.6653948000000005,7.229666666666668,,2.3045999999999998,L003,P034,T1
100,2026-04-15 00:00:00,7.053333333333335,,3.22,,15.305733333333336,,,5.3774,L003,P034,T1
110,2026-04-25 00:00:00,7.053333333333335,,3.22,,15.305733333333336,,,5.3774,L003,P034,T1
120,2026-05-05 00:00:00,7.053333333333335,,3.22,4.6,15.305733333333336,,,5.3774,L003,P034,T1
130,2026-05-15 00:00:00,7.053333333333335,,3.22,,15.305733333333336,,,5.3774,L003,P034,T1
140,2026-05-25 00:00:00,7.053333333333335,,3.22,,15.305733333333336,,,5.3774,L003,P034,T1
150,2026-06-04 00:00:00,7.053333333333335,,3.22,,15.305733333333336,,,5.3774,L003,P034,T1
160,2026-06-14 00:00:00,2.938888888888889,,3.066666666666667,,6.377388888888889,,,5.121333333333333,L003,P034,T1
170,2026-06-24 00:00:00,2.938888888888889,,3.066666666666667,,6.377388888888889,,,5.121333333333333,L003,P034,T1
