location_id,plot_id,plot_name,replication,treatment_id,extent_acre
L001,P001,R1T1,R1,T1,
L001,P002,R1T2,R1,T2,
L001,P003,R1T3,R1,T3,
L001,P004,R1T4,R1,T4,
L001,P005,R1T5,R1,T5,
L001,P006,R1T6,R1,T6,
L001,P007,R1T7,R1,T7,
L001,P008,R1T8,R1,T8,
L001,P009,R1T9,R1,T9,
L001,P010,R1T10,R1,T10,
L001,P011,R1T11,R1,T11,
L001,P012,R1T12,R1,T12,
L001,P013,R1T13,R1,T13,
L001,P014,R1T14,R1,T14,
L001,P015,R2T1,R2,T1,
L001,P016,R2T2,R2,T2,
L001,P017,R2T3,R2,T3,
L001,P018,R2T4,R2,T4,
L001,P019,R2T5,R2,T5,
L001,P020,R2T6,R2,T6,
L001,P021,R2T7,R2,T7,
L001,P022,R2T8,R2,T8,
L001,P023,R2T9,R2,T9,
L001,P024,R2T10,R2,T10,
L001,P025,R2T11,R2,T11,
L001,P026,R2T12,R2,T12,
L001,P027,R2T13,R2,T13,
L001,P028,R2T14,R2,T14,
L002,P029,Plot A,,T1,0.14
L002,P030,Plot B,,T2,0.18
L002,P031,Plot C,,T3,0.13
L002,P032,Plot D,,T4,0.2
L002,P033,Plot E,,T5,0.15
L003,P034,Plot A,,T1,0.46
L003,P035,Plot B,,T2,0.44
L003,P036,Plot C,,T3,0.43
L003,P037,Plot D,,T4,0.47
L003,P038,Plot E,,T5,0.39
